iter, loss
1,0.8630569487838518
2,0.8147858447205453
3,0.8002904374741373
4,0.7935076773308573
5,0.7840665379478818
6,0.7732793685850643
7,0.764968246110848
8,0.7610610324995858
9,0.7591469742570605
10,0.7520212517182032
11,0.7489323202513513
12,0.7441642110943795
13,0.7435466296530905
14,0.7405096794764201
15,0.7365732871521087
16,0.7336623533935774
17,0.7328556178467615
18,0.7279379435777664
19,0.7233859416132882
20,0.7193708818129131
21,0.7206560855820066
22,0.7175234916210175
23,0.7128452270116125
24,0.710768286157222
25,0.7100212866294952
26,0.706770696588925
27,0.704905587383679
28,0.7002223355429513
29,0.7010415174365043
30,0.7003292035744304
